               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10588,            0.025464,            0.078785,           0.0027537,             0.53441,           0.0051011,           0.0015805,            0.081321,            0.015895,            0.067015,               0.082,               0.002,               0.002
                   1,            0.081454,            0.030742,            0.069705,           0.0040675,             0.74087,            0.034357,            0.011559,            0.061238,            0.015878,            0.059729,            0.061747,            0.002747,            0.002747
                   2,            0.070676,            0.032654,            0.066078,             0.77874,            0.039579,            0.049672,            0.020225,            0.056517,             0.01459,            0.055114,            0.040108,            0.002108,            0.002108
