               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04016,            0.020291,            0.021538,             0.45234,             0.64659,             0.59825,             0.38823,            0.036414,           0.0095873,             0.02063,            0.006436,            0.006436,            0.006436
                  38,            0.038583,            0.020302,            0.022755,             0.54794,             0.55411,             0.61454,             0.39744,            0.035888,           0.0093406,            0.020397,            0.006337,            0.006337,            0.006337
                  39,             0.03864,            0.019073,            0.023174,             0.37592,             0.66164,             0.54716,             0.37339,            0.037507,           0.0094044,            0.018192,            0.006238,            0.006238,            0.006238
                  40,            0.039187,            0.020767,            0.021152,             0.35652,             0.60037,             0.51799,             0.33167,            0.036779,           0.0092969,            0.024864,            0.006139,            0.006139,            0.006139
                  41,            0.038104,            0.021839,            0.019004,             0.53803,             0.58201,             0.61093,             0.40061,            0.036721,            0.009662,            0.020312,             0.00604,             0.00604,             0.00604
                  42,            0.038022,             0.02188,            0.020683,             0.49339,              0.5729,             0.54415,             0.35691,            0.038122,            0.009543,            0.021758,            0.005941,            0.005941,            0.005941
                  43,            0.037523,            0.019766,             0.01708,             0.68947,             0.54869,             0.62916,             0.44375,            0.036617,           0.0093656,            0.019572,            0.005842,            0.005842,            0.005842
                  44,            0.039103,            0.018896,            0.017682,             0.58154,             0.56117,              0.6128,             0.41547,            0.036175,           0.0094264,            0.018222,            0.005743,            0.005743,            0.005743
                  45,            0.036699,            0.019545,            0.019414,             0.68172,             0.52787,             0.63613,             0.42876,            0.036664,           0.0097308,            0.018146,            0.005644,            0.005644,            0.005644
                  46,             0.03508,             0.01904,            0.017659,             0.51433,             0.63625,             0.62235,             0.42986,            0.035916,           0.0094389,            0.017415,            0.005545,            0.005545,            0.005545
                  47,             0.03779,            0.019035,            0.016379,              0.4813,             0.63689,                0.62,             0.42914,            0.035687,           0.0092942,            0.016337,            0.005446,            0.005446,            0.005446
                  48,             0.03813,            0.020037,            0.015958,             0.65825,             0.57311,             0.61083,             0.40975,            0.035493,           0.0094764,            0.018089,            0.005347,            0.005347,            0.005347
                  49,            0.037117,            0.019005,            0.016529,             0.73244,              0.5225,             0.60619,             0.38702,            0.037553,           0.0094325,            0.018809,            0.005248,            0.005248,            0.005248
                  50,            0.035267,            0.020591,            0.014293,             0.76018,             0.55347,             0.64226,             0.42404,             0.03539,           0.0093734,            0.016586,            0.005149,            0.005149,            0.005149
